CITY,CBSA,Average_AQI
MANCHESTER-NASHUA,"Manchester-Nashua, NH",37.74520547945205
MANITOWOC,"Manitowoc, WI",37.039603960396036
MARIETTA,"Marietta, OH",41.67755102040816
MARSHALL,"Marshall, MN",39.920833333333334
MASON CITY,"Mason City, IA",15.728813559322035
MAYAGUEZ,"Mayaguez, PR",37.34653465346535
MCALESTER,"McAlester, OK",46.59452054794521
MCALLEN-EDINBURG-MISSION,"McAllen-Edinburg-Mission, TX",49.87671232876713
MEDFORD,"Medford, OR",44.61917808219178
MEMPHIS,"Memphis, TN-MS-AR",53.92876712328767
MERCED,"Merced, CA",55.03013698630137
MERIDIAN,"Meridian, MS",35.95510204081633
MIAMI,"Miami, OK",44.02203856749311
MIAMI-FORT LAUDERDALE-WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",50.31043956043956
MICHIGAN CITY-LA PORTE,"Michigan City-La Porte, IN",41.247252747252745
MIDDLESBOROUGH,"Middlesborough, KY",39.39923954372624
MILWAUKEE-WAUKESHA-WEST ALLIS,"Milwaukee-Waukesha-West Allis, WI",49.88767123287671
MINNEAPOLIS-ST. PAUL-BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",52.07945205479452
MINOT,"Minot, ND",32.20054945054945
MISSOULA,"Missoula, MT",51.30684931506849
MOBILE,"Mobile, AL",47.47457627118644
MODESTO,"Modesto, CA",58.32876712328767
MONROE,"Monroe, LA",34.823113207547166
MONTGOMERY,"Montgomery, AL",56.66575342465753
MOREHEAD CITY,"Morehead City, NC",38.50579150579151
MORGANTOWN,"Morgantown, WV",41.021660649819495
MORRISTOWN,"Morristown, TN",43.337606837606835
MOSCOW,"Moscow, ID",16.37142857142857
MOSES LAKE,"Moses Lake, WA",29.594520547945205
MOUNT VERNON,"Mount Vernon, IL",45.3446519524618
MOUNT VERNON-ANACORTES,"Mount Vernon-Anacortes, WA",30.684931506849313
MUNCIE,"Muncie, IN",37.41477272727273
MUSCATINE,"Muscatine, IA",42.013698630136986
MUSKEGON,"Muskegon, MI",39.01908396946565
MUSKOGEE,"Muskogee, OK",25.723880597014926
MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",35.62376237623762
NAPA,"Napa, CA",39.71625344352617
NAPLES-IMMOKALEE-MARCO ISLAND,"Naples-Immokalee-Marco Island, FL",41.4060773480663
NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN,"Nashville-Davidson--Murfreesboro--Franklin, TN",52.04931506849315
NEW CASTLE,"New Castle, IN",33.447916666666664
NEW HAVEN-MILFORD,"New Haven-Milford, CT",49.367123287671234
NEW ORLEANS-METAIRIE,"New Orleans-Metairie, LA",52.271232876712325
NEW YORK-NEWARK-JERSEY CITY,"New York-Newark-Jersey City, NY-NJ-PA",61.23013698630137
NILES-BENTON HARBOR,"Niles-Benton Harbor, MI",40.23076923076923
NOGALES,"Nogales, AZ",42.13259668508287
NORTH PORT-SARASOTA-BRADENTON,"North Port-Sarasota-Bradenton, FL",45.42191780821918
NORWICH-NEW LONDON,"Norwich-New London, CT",40.55494505494506
OCALA,"Ocala, FL",44.75342465753425
ODESSA,"Odessa, TX",39.536723163841806
OGDEN-CLEARFIELD,"Ogden-Clearfield, UT",52.32876712328767
OKLAHOMA CITY,"Oklahoma City, OK",55.44931506849315
OLYMPIA-TUMWATER,"Olympia-Tumwater, WA",35.964383561643835
OMAHA-COUNCIL BLUFFS,"Omaha-Council Bluffs, NE-IA",46.654794520547945
ORLANDO-KISSIMMEE-SANFORD,"Orlando-Kissimmee-Sanford, FL",45.178082191780824
OTHELLO,"Othello, WA",21.430555555555557
OWENSBORO,"Owensboro, KY",47.527472527472526
OXFORD,"Oxford, NC",44.27916666666667
OXNARD-THOUSAND OAKS-VENTURA,"Oxnard-Thousand Oaks-Ventura, CA",54.64657534246575
PADUCAH,"Paducah, KY-IL",48.57967032967033
PAHRUMP,"Pahrump, NV",18.39178082191781
PALATKA,"Palatka, FL",18.256410256410255
PALM BAY-MELBOURNE-TITUSVILLE,"Palm Bay-Melbourne-Titusville, FL",39.54985754985755
PANAMA CITY,"Panama City, FL",45.76750700280112
PARKERSBURG-VIENNA,"Parkersburg-Vienna, WV",40.65342960288809
