City,State,Total_Rev_Prog_Desc
BATTLE CREEK,MI,11249299.0
BATTLE GROUND,IN,1427100.0
BATTLE GROUND,WA,711210.0
BAUDETTE,MN,900099.0
BAUXITE,AR,900099.0
BAXTER,IA,624410.0
BAY CITY,MI,16755382.0
BAY CITY,TX,623990.0
BAY HARBOR,MI,900099.0
BAY HARBOR ISLANDS,FL,522298.0
BAY SHORE,NY,1522009.0
BAY ST LOUIS,MS,2778229.0
BAY TERRACE,NY,721210.0
BAY VILLAGE,OH,2135909.0
BAYAMON,PR,2248219.0
BAYBORO,NC,900099.0
BAYFIELD,WI,1791360.0
BAYONNE,NJ,4634609.0
BAYOU LABATRE,AL,621300.0
BAYSHORE,NY,900001.0
BAYSIDE,CA,1639509.0
BAYSIDE,NY,5164209.0
BAYTOWN,TX,4211898.0
BAYVILLE,NY,1055224.0
BEACH,ND,1730900.0
BEACH HAVEN,NJ,1611209.0
BEACHWOOD,OH,3276249.0
BEACON,NY,1346810.0
BEALLSVILLE,MD,611699.0
BEALS,ME,642120.0
BEAR,DE,2148299.0
BEARDSTOWN,IL,623990.0
BEATRICE,NE,2560730.0
BEATTYVILLE,KY,2148299.0
BEAUFORT,NC,1511699.0
BEAUFORT,SC,7525277.0
BEAUMONT,CA,711300.0
BEAUMONT,TX,9998038.0
BEAVER,OH,561499.0
BEAVER,PA,2950839.0
BEAVER,WV,611600.0
BEAVER DAM,KY,310000.0
BEAVER DAM,WI,1235100.0
BEAVER FALLS,PA,2862698.0
BEAVER ISLAND,MI,1431209.0
BEAVER SPRGS,PA,734410.0
BEAVERCREEK,OH,6243618.0
BEAVERCREEK,OR,611710.0
BEAVERTON,OR,19367925.0
BECHTELSVILLE,PA,611600.0
BECKER,MN,1614089.0
BECKET,MA,2322339.0
BECKLEY,WV,5514349.0
BEDFORD,IN,1431219.0
BEDFORD,MA,5278717.0
BEDFORD,NH,5416809.0
BEDFORD,NY,1441999.0
BEDFORD,OH,623000.0
BEDFORD,PA,5991016.0
BEDFORD,TX,3944397.0
BEDFORD,VA,5238527.0
BEDFORD CORS,NY,900099.0
BEDFORD HILLS,NY,2235199.0
BEDFORD PARK,IL,811121.0
BEDMINSTER,NJ,2411798.0
BEE CAVE,TX,531390.0
BEECH GROVE,IN,621610.0
BEL AIR,MD,3583808.0
BELCHERTOWN,MA,1038290.0
BELDING,MI,624200.0
BELEN,NM,900099.0
BELFAIR,WA,1063600.0
BELFAST,ME,2572220.0
BELGIUM,WI,624100.0
BELGRADE,MT,1857420.0
BELHAVEN,NC,1235520.0
BELINGTON,WV,2408430.0
BELL,CA,611600.0
BELL GARDENS,CA,624100.0
BELLA VISTA,AR,900099.0
BELLAIRE,OH,1322920.0
BELLAIRE,TX,3981837.0
BELLARTHUR,NC,1246320.0
BELLE CHASSE,LA,2421688.0
BELLE FOURCHE,SD,2331318.0
BELLE GLADE,FL,531390.0
BELLE HAVEN,VA,624100.0
BELLE MEAD,NJ,621300.0
BELLE PLAINE,IA,621910.0
BELLE PLAINE,MN,611600.0
BELLE VERNON,PA,1435320.0
BELLEAIR,FL,611710.0
BELLEAIR BLUFFS,FL,900099.0
BELLEFONTAINE,OH,2766819.0
BELLEFONTE,PA,6359536.0
BELLEPLAIN,NJ,0.0
BELLEVIEW,FL,1890200.0
BELLEVILLE,IL,5873930.0
BELLEVILLE,MI,2049390.0
BELLEVILLE,NJ,900099.0
BELLEVILLE,PA,2319330.0
BELLEVUE,NE,2411908.0
BELLEVUE,OH,2047129.0
BELLEVUE,PA,900099.0
BELLEVUE,WA,31171250.0
BELLFLOWER,CA,2048497.0
BELLINGHAM,WA,30450216.0
BELLMORE,NY,1155320.0
BELLPORT,NY,561499.0
BELLS,TN,611000.0
BELLVILLE,TX,1524621.0
BELLWOOD,IL,1248820.0
BELMAR,NJ,711130.0
BELMONT,CA,1418210.0
BELMONT,MA,6196448.0
BELMONT,NY,1950509.0
BELMONT,OH,900099.0
BELMONT,WI,621910.0
BELOIT,KS,3668019.0
BELOIT,WI,8926867.0
BELPRE,OH,611600.0
BELT,MT,713990.0
BELTON,MO,2789519.0
BELTON,SC,1775320.0
