City,State,Total_Rev_Prog_Desc,CBSA,CITY,Average_AQI
LAWRENCEBURG,TN,531110.0,"LAWRENCEBURG, TN",LAWRENCEBURG,36.03636363636364
LAWTON,OK,7418957.0,"LAWTON, OK",LAWTON,47.728767123287675
LEBANON,PA,14511341.0,"LEBANON, PA",LEBANON,48.138888888888886
LIMA,OH,13672532.0,"LIMA, OH",LIMA,44.39156626506024
LINCOLN,NE,64300130.0,"LINCOLN, NE",LINCOLN,36.75694444444444
LONGVIEW,TX,9322919.0,"LONGVIEW, TX",LONGVIEW,32.41274238227147
LOS ALAMOS,NM,624100.0,"LOS ALAMOS, NM",LOS ALAMOS,13.333333333333334
LUBBOCK,TX,25238863.0,"LUBBOCK, TX",LUBBOCK,34.121212121212125
LUDINGTON,MI,4289203.0,"LUDINGTON, MI",LUDINGTON,34.21259842519685
LYNCHBURG,VA,18772694.0,"LYNCHBURG, VA",LYNCHBURG,34.157407407407405
MACON,GA,16691178.0,"MACON, GA",MACON,46.60497237569061
MADERA,CA,1857310.0,"MADERA, CA",MADERA,56.35342465753425
MADISON,WI,170689260.0,"MADISON, WI",MADISON,45.48219178082192
MALONE,NY,2054009.0,"MALONE, NY",MALONE,31.531073446327685
MANITOWOC,WI,9518409.0,"MANITOWOC, WI",MANITOWOC,37.03960396039603
MARIETTA,OH,7902055.0,"MARIETTA, OH",MARIETTA,41.67755102040816
MARSHALL,MN,4992328.0,"MARSHALL, MN",MARSHALL,39.920833333333334
MASON CITY,IA,5192508.0,"MASON CITY, IA",MASON CITY,15.728813559322036
MAYAGUEZ,PR,1521499.0,"MAYAGUEZ, PR",MAYAGUEZ,37.34653465346535
MCALESTER,OK,611710.0,"MCALESTER, OK",MCALESTER,46.59452054794521
MEDFORD,OR,8013566.0,"MEDFORD, OR",MEDFORD,44.61917808219178
MERCED,CA,3648220.0,"MERCED, CA",MERCED,55.03013698630137
MERIDIAN,MS,12741327.0,"MERIDIAN, MS",MERIDIAN,35.95510204081633
MIAMI,OK,522299.0,"MIAMI, OK",MIAMI,44.02203856749311
MINOT,ND,12787347.0,"MINOT, ND",MINOT,32.20054945054945
MISSOULA,MT,35159731.0,"MISSOULA, MT",MISSOULA,51.30684931506849
MOBILE,AL,49047032.0,"MOBILE, AL",MOBILE,47.47457627118644
MODESTO,CA,14052796.0,"MODESTO, CA",MODESTO,58.32876712328767
MONROE,LA,10949675.0,"MONROE, LA",MONROE,34.823113207547166
MONTGOMERY,AL,31116989.0,"MONTGOMERY, AL",MONTGOMERY,56.66575342465753
MOREHEAD CITY,NC,3397909.0,"MOREHEAD CITY, NC",MOREHEAD CITY,38.50579150579151
MORGANTOWN,WV,14872227.0,"MORGANTOWN, WV",MORGANTOWN,41.021660649819495
MORRISTOWN,TN,19076799.0,"MORRISTOWN, TN",MORRISTOWN,43.337606837606835
MOSCOW,ID,3888229.0,"MOSCOW, ID",MOSCOW,16.37142857142857
MOSES LAKE,WA,2845639.0,"MOSES LAKE, WA",MOSES LAKE,29.594520547945205
MOUNT VERNON,IL,900099.0,"MOUNT VERNON, IL",MOUNT VERNON,45.3446519524618
MUNCIE,IN,12924883.0,"MUNCIE, IN",MUNCIE,37.41477272727273
MUSCATINE,IA,6282746.0,"MUSCATINE, IA",MUSCATINE,42.013698630136986
MUSKEGON,MI,7086307.0,"MUSKEGON, MI",MUSKEGON,39.01908396946565
MUSKOGEE,OK,3324228.0,"MUSKOGEE, OK",MUSKOGEE,25.72388059701493
NAPA,CA,19577843.0,"NAPA, CA",NAPA,39.71625344352617
NEW CASTLE,IN,3868819.0,"NEW CASTLE, IN",NEW CASTLE,33.447916666666664
NOGALES,AZ,1800198.0,"NOGALES, AZ",NOGALES,42.13259668508287
OCALA,FL,14790374.0,"OCALA, FL",OCALA,44.75342465753425
ODESSA,TX,8531068.0,"ODESSA, TX",ODESSA,39.536723163841806
OKLAHOMA CITY,OK,54446251.0,"OKLAHOMA CITY, OK",OKLAHOMA CITY,55.44931506849315
OTHELLO,WA,1521499.0,"OTHELLO, WA",OTHELLO,21.430555555555557
OWENSBORO,KY,10774009.0,"OWENSBORO, KY",OWENSBORO,47.527472527472526
OXFORD,NC,1400520.0,"OXFORD, NC",OXFORD,44.27916666666667
PALATKA,FL,2567419.0,"PALATKA, FL",PALATKA,18.256410256410255
PANAMA CITY,FL,5181422.0,"PANAMA CITY, FL",PANAMA CITY,45.76750700280112
PAYSON,AZ,4298712.0,"PAYSON, AZ",PAYSON,55.24109589041096
PEORIA,IL,32348416.0,"PEORIA, IL",PEORIA,45.637362637362635
PIERRE,SD,6047818.0,"PIERRE, SD",PIERRE,17.786516853932586
PITTSBURGH,PA,167052869.0,"PITTSBURGH, PA",PITTSBURGH,63.57808219178082
PITTSFIELD,MA,23926172.0,"PITTSFIELD, MA",PITTSFIELD,42.565934065934066
PLATTEVILLE,WI,3554050.0,"PLATTEVILLE, WI",PLATTEVILLE,40.81369863013698
POCATELLO,ID,2208330.0,"POCATELLO, ID",POCATELLO,25.86027397260274
PONCA CITY,OK,2583950.0,"PONCA CITY, OK",PONCA CITY,47.010958904109586
PONCE,PR,1524299.0,"PONCE, PR",PONCE,44.74643874643875
PORT ANGELES,WA,12311447.0,"PORT ANGELES, WA",PORT ANGELES,38.95068493150685
PORTSMOUTH,OH,9569845.0,"PORTSMOUTH, OH",PORTSMOUTH,19.106849315068494
PRESCOTT,AZ,16916736.0,"PRESCOTT, AZ",PRESCOTT,44.095238095238095
PRINEVILLE,OR,900099.0,"PRINEVILLE, OR",PRINEVILLE,35.679452054794524
PUEBLO,CO,14326174.0,"PUEBLO, CO",PUEBLO,25.571428571428573
PULLMAN,WA,4892928.0,"PULLMAN, WA",PULLMAN,27.60547945205479
RACINE,WI,10503718.0,"RACINE, WI",RACINE,41.78817733990148
RALEIGH,NC,70103444.0,"RALEIGH, NC",RALEIGH,52.14520547945205
RAPID CITY,SD,26318304.0,"RAPID CITY, SD",RAPID CITY,46.46849315068493
READING,PA,30650827.0,"READING, PA",READING,48.06027397260274
RED BLUFF,CA,1322900.0,"RED BLUFF, CA",RED BLUFF,45.632876712328766
RED WING,MN,4460139.0,"RED WING, MN",RED WING,37.157407407407405
REDDING,CA,17314743.0,"REDDING, CA",REDDING,42.91208791208791
RENO,NV,44193467.0,"RENO, NV",RENO,50.18630136986302
RICHMOND,VA,88990516.0,"RICHMOND, VA",RICHMOND,48.010958904109586
RIVERTON,WY,2217430.0,"RIVERTON, WY",RIVERTON,47.465753424657535
ROANOKE,VA,34463416.0,"ROANOKE, VA",ROANOKE,39.21095890410959
ROCHESTER,MN,31187497.0,"ROCHESTER, MN",ROCHESTER,42.15363511659808
ROCK SPRINGS,WY,2059220.0,"ROCK SPRINGS, WY",ROCK SPRINGS,48.71232876712329
ROCKFORD,IL,23200050.0,"ROCKFORD, IL",ROCKFORD,48.3049853372434
ROCKLAND,ME,5241038.0,"ROCKLAND, ME",ROCKLAND,36.83098591549296
ROCKY MOUNT,NC,3086210.0,"ROCKY MOUNT, NC",ROCKY MOUNT,38.79338842975206
ROME,GA,13129785.0,"ROME, GA",ROME,50.49862258953168
ROSEBURG,OR,6077950.0,"ROSEBURG, OR",ROSEBURG,36.10374639769452
ROSWELL,NM,5070479.0,"ROSWELL, NM",ROSWELL,23.491525423728813
RUIDOSO,NM,624410.0,"RUIDOSO, NM",RUIDOSO,14.85981308411215
RUTLAND,VT,4684850.0,"RUTLAND, VT",RUTLAND,42.12876712328767
SALEM,OH,3534101.0,"SALEM, OH",SALEM,35.89234449760765
SALINAS,CA,8655519.0,"SALINAS, CA",SALINAS,40.97260273972603
SALT LAKE CITY,UT,9853598.0,"SALT LAKE CITY, UT",SALT LAKE CITY,61.86027397260274
SANDPOINT,ID,3033230.0,"SANDPOINT, ID",SANDPOINT,31.471232876712328
SANTA FE,NM,52430954.0,"SANTA FE, NM",SANTA FE,46.54419889502763
SANTA ROSA,CA,23561276.0,"SANTA ROSA, CA",SANTA ROSA,37.44383561643835
SAVANNAH,GA,21092786.0,"SAVANNAH, GA",SAVANNAH,45.51044776119403
SAYRE,PA,900099.0,"SAYRE, PA",SAYRE,41.70170454545455
SCOTTSBLUFF,NE,7875389.0,"SCOTTSBLUFF, NE",SCOTTSBLUFF,26.150442477876105
SEBRING,FL,2671710.0,"SEBRING, FL",SEBRING,36.012875536480685
SENECA,SC,5125346.0,"SENECA, SC",SENECA,36.21172638436482
SEVIERVILLE,TN,6173927.0,"SEVIERVILLE, TN",SEVIERVILLE,45.760989010989015
SEYMOUR,IN,2587099.0,"SEYMOUR, IN",SEYMOUR,35.34166666666667
SHEBOYGAN,WI,21228690.0,"SHEBOYGAN, WI",SHEBOYGAN,40.800970873786405
SHELTON,WA,1248510.0,"SHELTON, WA",SHELTON,31.5595567867036
SHERIDAN,WY,3299800.0,"SHERIDAN, WY",SHERIDAN,39.69041095890411
SHOW LOW,AZ,1434910.0,"SHOW LOW, AZ",SHOW LOW,44.515068493150686
SIOUX FALLS,SD,47135242.0,"SIOUX FALLS, SD",SIOUX FALLS,39.52876712328767
SOMERSET,KY,2521509.0,"SOMERSET, KY",SOMERSET,37.70514820592824
SONORA,CA,2056934.0,"SONORA, CA",SONORA,45.849162011173185
SPARTANBURG,SC,26101302.0,"SPARTANBURG, SC",SPARTANBURG,43.86206896551724
SPRINGFIELD,IL,33303311.0,"SPRINGFIELD, IL",SPRINGFIELD,45.80289455547898
STATE COLLEGE,PA,15700732.0,"STATE COLLEGE, PA",STATE COLLEGE,48.87123287671233
STEAMBOAT SPRINGS,CO,1244300.0,"STEAMBOAT SPRINGS, CO",STEAMBOAT SPRINGS,15.17134831460674
SYRACUSE,NY,90164531.0,"SYRACUSE, NY",SYRACUSE,40.465753424657535
TALLAHASSEE,FL,60471659.0,"TALLAHASSEE, FL",TALLAHASSEE,48.11232876712329
TAOS,NM,7031697.0,"TAOS, NM",TAOS,25.79608938547486
TERRE HAUTE,IN,17107246.0,"TERRE HAUTE, IN",TERRE HAUTE,51.054794520547944
THE DALLES,OR,2406820.0,"THE DALLES, OR",THE DALLES,36.29142857142857
TOLEDO,OH,64533527.0,"TOLEDO, OH",TOLEDO,46.62678062678063
TOPEKA,KS,46205895.0,"TOPEKA, KS",TOPEKA,46.93150684931507
TORRINGTON,CT,10349707.0,"TORRINGTON, CT",TORRINGTON,39.54520547945206
TRAVERSE CITY,MI,16878866.0,"TRAVERSE CITY, MI",TRAVERSE CITY,35.526315789473685
TRENTON,NJ,19693698.0,"TRENTON, NJ",TRENTON,47.06027397260274
TUCSON,AZ,73379276.0,"TUCSON, AZ",TUCSON,51.44657534246576
TULSA,OK,69349210.0,"TULSA, OK",TULSA,51.635616438356166
TUPELO,MS,6945848.0,"TUPELO, MS",TUPELO,38.67219917012448
TUSCALOOSA,AL,8650907.0,"TUSCALOOSA, AL",TUSCALOOSA,38.34469696969697
TWIN FALLS,ID,6988360.0,"TWIN FALLS, ID",TWIN FALLS,28.356164383561644
TYLER,TX,18542836.0,"TYLER, TX",TYLER,37.832417582417584
UKIAH,CA,6871942.0,"UKIAH, CA",UKIAH,38.38227146814405
VALDOSTA,GA,4548748.0,"VALDOSTA, GA",VALDOSTA,45.49677419354839
VICTORIA,TX,4777569.0,"VICTORIA, TX",VICTORIA,33.40469208211144
VINCENNES,IN,7180684.0,"VINCENNES, IN",VINCENNES,36.77437325905292
WABASH,IN,3974308.0,"WABASH, IN",WABASH,37.535612535612536
WACO,TX,32497969.0,"WACO, TX",WACO,39.701369863013696
WALLA WALLA,WA,8848189.0,"WALLA WALLA, WA",WALLA WALLA,32.989041095890414
