CITY,STATE,Total_Rev_Prog_Desc,Percent_Unhealthy_Days
SHOW LOW,AZ,1434910.0,0.273972602739726
SIOUX FALLS,SD,47135242.0,0.273972602739726
SOMERSET,KY,2521509.0,0.0
SONORA,CA,2056934.0,0.5586592178770949
SPARTANBURG,SC,26101302.0,0.5747126436781609
SPRINGFIELD,IL,33303311.0,0.1378359751895244
STATE COLLEGE,PA,15700732.0,0.0
STEAMBOAT SPRINGS,CO,1244300.0,0.2808988764044944
SYRACUSE,NY,90164531.0,0.0
TALLAHASSEE,FL,60471659.0,0.273972602739726
TAOS,NM,7031697.0,0.0
TERRE HAUTE,IN,17107246.0,0.273972602739726
THE DALLES,OR,2406820.0,0.0
TOLEDO,OH,64533527.0,0.2849002849002849
TOPEKA,KS,46205895.0,0.273972602739726
TORRINGTON,CT,10349707.0,0.0
TRAVERSE CITY,MI,16878866.0,0.0
TRENTON,NJ,19693698.0,0.547945205479452
TUCSON,AZ,73379276.0,0.547945205479452
TULSA,OK,69349210.0,0.547945205479452
TUPELO,MS,6945848.0,0.0
TUSCALOOSA,AL,8650907.0,0.0
TWIN FALLS,ID,6988360.0,0.0
TYLER,TX,18542836.0,0.2747252747252747
UKIAH,CA,6871942.0,0.0
VALDOSTA,GA,4548748.0,0.0
VICTORIA,TX,4777569.0,0.0
VINCENNES,IN,7180684.0,0.0
WABASH,IN,3974308.0,0.0
WACO,TX,32497969.0,0.0
WALLA WALLA,WA,8848189.0,0.0
WALTERBORO,SC,624200.0,0.0
WARNER ROBINS,GA,5928161.0,0.5649717514124294
WASHINGTON COURT HOUSE,OH,1593330.0,0.0
WATERTOWN,SD,5481618.0,0.0
WAUSAU,WI,11811188.0,0.0
WEATHERFORD,OK,3678549.0,0.0
WENATCHEE,WA,13463951.0,0.273972602739726
WICHITA,KS,62561656.0,0.0
WILLIAMSPORT,PA,11415046.0,0.0
WILLISTON,ND,4383802.0,0.0
WILMINGTON,NC,25357326.0,0.0
WINONA,MN,10015133.0,0.0
YAKIMA,WA,26855628.0,2.73972602739726
YUBA CITY,CA,4035809.0,0.547945205479452
YUMA,AZ,1758110.0,0.821917808219178
