F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY,State,Percent_Unhealthy_Days
TWIN FALLS,ID,TWIN FALLS,ID,0.0
PAHRUMP,NV,PAHRUMP,NV,0.273972602739726
GREAT FALLS,MT,GREAT FALLS,MT,0.2754820936639118
SHELTON,WA,SHELTON,WA,0.0
CENTRALIA,WA,CENTRALIA,WA,0.0
GRANTS PASS,OR,GRANTS PASS,OR,1.36986301369863
FAIRMONT,WV,FAIRMONT,WV,0.0
GLENWOOD SPRINGS,CO,GLENWOOD SPRINGS,CO,0.547945205479452
ROSEBURG,OR,ROSEBURG,OR,0.0
WILLISTON,ND,WILLISTON,ND,0.0
JEFFERSON CITY,MO,JEFFERSON CITY,MO,0.0
BEAVER DAM,WI,BEAVER DAM,WI,0.273972602739726
RED WING,MN,RED WING,MN,0.0
RUIDOSO,NM,RUIDOSO,NM,0.0
DODGE CITY,KS,DODGE CITY,KS,0.0
EL DORADO,AR,EL DORADO,AR,0.0
MADERA,CA,MADERA,CA,3.5616438356164384
ROCK SPRINGS,WY,ROCK SPRINGS,WY,0.821917808219178
ARKADELPHIA,AR,ARKADELPHIA,AR,0.0
MUSKOGEE,OK,MUSKOGEE,OK,1.4925373134328357
EVANSTON,WY,EVANSTON,WY,0.273972602739726
ABERDEEN,SD,ABERDEEN,SD,0.0
EAGLE PASS,TX,EAGLE PASS,TX,0.2949852507374631
LAWRENCEBURG,TN,LAWRENCEBURG,TN,0.0
VINEYARD HAVEN,MA,VINEYARD HAVEN,MA,1.1363636363636365
CLEVELAND,MS,CLEVELAND,MS,0.0
FORT PAYNE,AL,FORT PAYNE,AL,0.0
VERNAL,UT,VERNAL,UT,6.027397260273973
COOS BAY,OR,COOS BAY,OR,0.0
SONORA,CA,SONORA,CA,0.5586592178770949
RIVERTON,WY,RIVERTON,WY,0.273972602739726
OXFORD,NC,OXFORD,NC,0.0
ROANOKE RAPIDS,NC,ROANOKE RAPIDS,NC,0.0
WALTERBORO,SC,WALTERBORO,SC,0.0
DOUGLAS,GA,DOUGLAS,GA,0.0
PONCE,PR,PONCE,PR,1.7094017094017095
MAYAGUEZ,PR,MAYAGUEZ,PR,0.0
CLEARLAKE,CA,CLEARLAKE,CA,0.0
MIAMI,OK,MIAMI,OK,0.2754820936639118
PRICE,UT,PRICE,UT,0.273972602739726
FERNLEY,NV,FERNLEY,NV,0.0
OTHELLO,WA,OTHELLO,WA,0.0
