CITY,CBSA,Percent_Unhealthy_Days
LOUISVILLE/JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",1.095890410958904
LUBBOCK,"Lubbock, TX",0.30303030303030304
LUDINGTON,"Ludington, MI",0.0
LYNCHBURG,"Lynchburg, VA",0.0
MACON,"Macon, GA",0.8287292817679558
MADERA,"Madera, CA",3.5616438356164384
MADISON,"Madison, WI",0.0
MALONE,"Malone, NY",0.0
MANCHESTER-NASHUA,"Manchester-Nashua, NH",0.0
MANITOWOC,"Manitowoc, WI",0.0
MARIETTA,"Marietta, OH",0.0
MARSHALL,"Marshall, MN",0.0
MASON CITY,"Mason City, IA",0.0
MAYAGUEZ,"Mayaguez, PR",0.0
MCALESTER,"McAlester, OK",0.547945205479452
MCALLEN-EDINBURG-MISSION,"McAllen-Edinburg-Mission, TX",0.547945205479452
MEDFORD,"Medford, OR",1.9178082191780823
MEMPHIS,"Memphis, TN-MS-AR",1.36986301369863
MERCED,"Merced, CA",1.9178082191780823
MERIDIAN,"Meridian, MS",0.0
MIAMI,"Miami, OK",0.27548209366391185
MIAMI-FORT LAUDERDALE-WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",0.5494505494505495
MICHIGAN CITY-LA PORTE,"Michigan City-La Porte, IN",1.098901098901099
MIDDLESBOROUGH,"Middlesborough, KY",0.0
MILWAUKEE-WAUKESHA-WEST ALLIS,"Milwaukee-Waukesha-West Allis, WI",0.821917808219178
MINNEAPOLIS-ST. PAUL-BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",0.273972602739726
MINOT,"Minot, ND",0.0
MISSOULA,"Missoula, MT",1.095890410958904
MOBILE,"Mobile, AL",0.0
MODESTO,"Modesto, CA",6.301369863013699
MONROE,"Monroe, LA",0.0
MONTGOMERY,"Montgomery, AL",0.273972602739726
MOREHEAD CITY,"Morehead City, NC",0.0
MORGANTOWN,"Morgantown, WV",0.0
MORRISTOWN,"Morristown, TN",0.0
MOSCOW,"Moscow, ID",0.0
MOSES LAKE,"Moses Lake, WA",0.0
MOUNT VERNON,"Mount Vernon, IL",0.1697792869269949
MOUNT VERNON-ANACORTES,"Mount Vernon-Anacortes, WA",0.0
MUNCIE,"Muncie, IN",0.0
MUSCATINE,"Muscatine, IA",0.0
MUSKEGON,"Muskegon, MI",0.38167938931297707
MUSKOGEE,"Muskogee, OK",1.4925373134328357
MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.0
NAPA,"Napa, CA",0.5509641873278237
NAPLES-IMMOKALEE-MARCO ISLAND,"Naples-Immokalee-Marco Island, FL",0.0
NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.273972602739726
