F9_08_REV_PROG_DESC
City: MORRISTOWN, TN, X: 1462934.0, Y: 43.33760683760684, Distance from Trendline: 5.705397999856267
City: ALBANY, GA, X: 3231407.0, Y: 45.325936199722605, Distance from Trendline: 5.637220210413602
City: LAFAYETTE, LA, X: 6174036.0, Y: 46.88493150684931, Distance from Trendline: 5.516090309523392
City: LAKE CITY, FL, X: 4224708.0, Y: 45.853994490358126, Distance from Trendline: 5.469721290634489
City: OWENSBORO, KY, X: 8180528.0, Y: 47.527472527472526, Distance from Trendline: 5.428374592410663
City: ADRIAN, MI, X: 3421607.0, Y: 45.237430167597765, Distance from Trendline: 5.400296432901975
City: FLAGSTAFF, AZ, X: 7787025.0, Y: 47.32054794520548, Distance from Trendline: 5.349380192560922
City: SAYRE, PA, X: 900099.0, Y: 41.70170454545455, Distance from Trendline: 5.329896340082257
City: FALLON, NV, X: 624410.0, Y: 40.685552407932015, Distance from Trendline: 5.262746917495697
City: GILLETTE, WY, X: 900099.0, Y: 41.63013698630137, Distance from Trendline: 5.258328780929084
City: IOWA CITY, IA, X: 4322606.0, Y: 45.59065934065934, Distance from Trendline: 5.146937962933592
City: IDAHO FALLS, ID, X: 2598819.0, Y: 44.08767123287672, Distance from Trendline: 4.964313795500729
City: CORSICANA, TX, X: 1461099.0, Y: 42.38674033149172, Distance from Trendline: 4.757788579935031
City: VALDOSTA, GA, X: 4944916.0, Y: 45.49677419354839, Distance from Trendline: 4.704014919421859
City: JASPER, IN, X: 1431219.0, Y: 42.275, Distance from Trendline: 4.699668074322069
City: GETTYSBURG, PA, X: 5738996.0, Y: 45.78904109589041, Distance from Trendline: 4.6098161001064
City: DOVER, DE, X: 6480909.0, Y: 45.945205479452056, Distance from Trendline: 4.450483636989695
City: KALISPELL, MT, X: 1431209.0, Y: 41.93150684931507, Distance from Trendline: 4.356193055433145
City: CHARLOTTESVILLE, VA, X: 531110.0, Y: 39.219858156028366, Distance from Trendline: 4.217030172444531
City: GADSDEN, AL, X: 3048508.0, Y: 43.66666666666666, Distance from Trendline: 4.129152073271975
City: KOKOMO, IN, X: 5247209.0, Y: 44.662049861495845, Distance from Trendline: 3.715309940110238
City: KLAMATH FALLS, OR, X: 5039616.0, Y: 44.43287671232877, Distance from Trendline: 3.5908896090228666
City: OCALA, FL, X: 5781715.0, Y: 44.75342465753425, Distance from Trendline: 3.554954605640603
City: MOREHEAD CITY, NC, X: 531110.0, Y: 38.50579150579151, Distance from Trendline: 3.502963522207672
City: EL DORADO, AR, X: 6548685.0, Y: 44.95850622406639, Distance from Trendline: 3.4367868310246976
City: HOLLAND, MI, X: 2055399.0, Y: 41.93478260869565, Distance from Trendline: 3.4201900181598432
City: PRESCOTT, AZ, X: 5223009.0, Y: 44.095238095238095, Distance from Trendline: 3.160494156002933
City: FAYETTEVILLE, NC, X: 3836919.0, Y: 43.29201101928375, Distance from Trendline: 3.1575901990446553
